CODI_DIVISIO_TERRITORIAL;TIPUS_VEHICLE;CODI_TIPUS_VEHICLE;ANTIGUITAT;POTENCIA_FISCAL;CILINDRADA;PLACES;MARCA;NR_VEHICLES
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;10,56;1360;5;Citroen;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2013;9,54;1149;5;Dacia;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;13,3;1997;5;Peugeot;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;10,69;1388;5;Ford;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;13,28;1991;5;Hyundai;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2001;14,04;2184;5;Nissan;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2004;11,59;1587;5;Peugeot;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;13,31;1997;5;Peugeot;2
B-01;VEHIC. ESPECIAL;Tractors de menys de 16 CV              ;2005;3,9;567;1;M.Z.Imer;5
B-01;VEHIC. MIXTO;Turismes de 16 fins a 19,99 CV          ;2003;16,65;2902;7;Kia;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2002;12,89;1896;5;Seat;14
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;2009;1,45;125;2;Suzuki;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2003;12,89;1896;5;Seat;6
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;11,64;1598;4;Mini;5
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2001;12,89;1896;5;Volkswagen;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2001;10,7;1390;5;Renault;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;14,12;2204;5;Honda;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;11,19;1499;5;Ford;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2000;10,57;1360;5;Peugeot;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2011;11,63;1596;5;Ford;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;1997;11,64;1598;5;Renault;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2000;12,28;1749;5;Citroen;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;1995;12,48;1796;5;Ford;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;1998;12,89;1896;5;Audi;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;1999;12,89;1896;5;Volkswagen;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;1997;11,62;1595;5;Volkswagen;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;1999;11,63;1598;5;Volkswagen;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;1990;12;1781;5;Volkswagen;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;1998;2,14;239;2;Yamaha;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2015;13,19;1968;5;Audi;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2001;13,3;1996;5;Chrysler;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2014;11,64;1598;5;Audi;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;14,05;2188;7;Hyundai;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2002;9,96;1493;5;Hyundai;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2012;11,47;1560;5;Citroen;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;12,89;1896;5;A.U.D.I.;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;10,68;1386;5;Nissan;2
B-01;MOTOCICLETA;Motocicletes de més de 500 fins a 1000cc;2006;5,13;600;2;Yamaha;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;14,1;2204;5;Honda;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;13,3;1995;5;B.M.W.;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2012;11,63;1596;5;Ford;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;13,3;1995;5;Nissan;2
B-01;VEHIC. MIXTO;Turismes de 12 fins a 15,99 CV          ;2001;13,3;1998;6;Ford;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2011;11,64;1598;5;Volkswagen;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;11,61;1591;5;Hyundai;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2003;12,95;1910;5;Alfa;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;10,42;1328;4;Suzuki;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;0;14,48;1984;5;Volvo;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2009;11,03;1461;5;Nissan;5
B-01;MOTOCICLETA;Motocicletes de més de 125 fins a 250 cc;2007;2,2;249;2;Yamaha;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;9,78;1197;5;Nissan;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2001;11,64;1598;5;Seat;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;10,47;1339;5;Honda;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;12,89;1896;5;Volkswagen;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;10,74;1399;5;Ford;2
B-01;TODO TERRENO;Turismes de 16 fins a 19,99 CV          ;2015;19,94;2993;5;Bmw;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2002;12,89;1896;5;Volkswagen;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2009;13,3;1995;5;Nissan;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2004;11,56;1598;5;Volkswagen;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;13,19;1968;5;Audi;5
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2009;12,89;1896;5;Seat;8
