DIVISIO_TERRITORIAL;TIPUS_VEHICLE;DESCRIP_TARIFA;POTENCIA;CILINDRADA;PLACES;DECODE(TIPUS_VEHICLE,'CAMION',CARREGA,'REMOLQUE',CARREGA,NULL);MARCA;NR_VEHICLES
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.896;5;;Volkswagen;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.896;5;;Volkswagen;30
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.896;5;;Seat;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.910;5;;Opel;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.910;7;;Opel;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.910;5;;Alfa;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.910;5;;Alfa;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.910;5;;Fiat;5
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.948;5;;Volvo;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.951;5;;Bmw;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.968;5;;A.U.D.I.;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.968;5;;A.U.D.I.;8
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.968;5;;Audi;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.968;5;;Audi;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.968;5;;Audi;10
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.968;5;;Audi;12
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.968;5;;Seat;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.995;5;;Bmw;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.995;5;;Renault;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.995;7;;Opel;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.994;5;;Subaru;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.995;5;;B.M.W.;8
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.995;5;;Bmw;6
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.995;5;;Hyundai;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.995;5;;Hyundai;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.995;5;;Nissan;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.995;5;;Toyota;5
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.995;7;;Toyota;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.996;5;;Chrysler;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.997;5;;Citroen;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.997;5;;Citroen;11
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.997;5;;Ford;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.997;5;;Ford;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.997;5;;Ford;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.997;5;;Honda;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.997;5;;Nissan;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.997;5;;Peugeot;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.997;5;;Peugeot;8
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.997;7;;Ford;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.997;7;;Peugeot;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.997;8;;Citroen;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.998;5;;Ford;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.998;5;;Ford;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.998;5;;Mazda;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.998;5;;Mazda;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.998;5;;Renault;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.998;5;;Toyota;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.997;5;;Peugeot;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.997;5;;Peugeot;7
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.998;5;;Ssangyong;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.998;5;;Toyota;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.999;5;;Mazda;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;2.035;5;;Mercedes;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;14;2.143;4;;Mercedes-Benz;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;14;2.143;5;;Mercedes-Benz;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;14;2.143;5;;Mercedes-Benz;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;14;2.143;5;;Mercedes-Benz;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;14;2.148;4;;Mercedes;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;14;2.148;5;;Mercedes;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;14;2.184;5;;Nissan;5
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;14;2.184;5;;Nissan;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;14;2.188;7;;Hyundai;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;14;2.191;5;;Mazda;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;14;2.204;5;;Honda;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;14;2.204;5;;Honda;6
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.686;5;;Opel;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.686;5;;Opel;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.686;5;;Opel;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.685;5;;Hyundai;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.685;5;;Hyundai;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.685;5;;Hyundai;6
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.685;5;;Kia;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.686;5;;Opel;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;9;1.199;5;;Citroen;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;9;1.199;5;;Citroen;5
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;9;1.199;5;;Citroen;7
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;9;1.199;5;;Citroen;8
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;9;1.199;5;;Peugeot;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;9;999;5;;Volkswagen;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;9;999;5;;Hyundai;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;9;1.198;5;;Seat;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;9;1.086;4;;Kia;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;9;1.086;4;;Hyundai;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;9;1.124;4;;Citroen;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;9;1.124;5;;Citroen;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;9;1.124;5;;Citroen;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.149;5;;Dacia;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.149;5;;Renault;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.149;5;;Renault;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.149;5;;Renault;13
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.149;5;;Dacia;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.422;4;;Volkswagen;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.422;5;;Seat;6
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.422;5;;Skoda;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.422;5;;Volkswagen;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.197;5;;Renault;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.197;4;;Audi;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.197;5;;Audi;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.197;5;;Nissan;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.197;5;;Nissan;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.197;5;;Nissan;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.197;5;;Renault;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.197;5;;Renault;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.197;5;;Seat;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.197;5;;Seat;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.197;5;;Seat;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.197;5;;Volkswagen;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.197;5;;Volkswagen;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;10;1.197;5;;Volkswagen;5
