CODI_DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NRE_LOCALS
B-33;SOL SENSE EDIFICAR;       165,159.60;6
B-33;VIVENDA;        36,225.02;274
B-34;COMERÇ;       209,246.64;14
B-34;EMMAGATZEMATGE;         5,541.48;94
B-34;INDUSTRIA;       174,784.00;57
B-34;OFICINA;       231,239.01;39
B-34;SOL SENSE EDIFICAR;       573,687.69;3
B-34;VIVENDA;        57,253.23;84
B-4;COMERÇ;        40,008.53;97
B-4;EMMAGATZEMATGE;        14,648.57;670
B-4;ENSENYAMENT;        76,448.22;1
B-4;HOTEL;        32,421.22;4
B-4;INDUSTRIA;       174,253.33;263
B-4;OFICINA;       325,792.35;16
B-4;RELIGIOS;       232,889.74;1
B-4;SOL SENSE EDIFICAR;       494,514.25;43
B-4;VIVENDA;        38,432.46;1375
B-5;ALTRES USOS;       343,402.95;4
B-5;COMERÇ;        50,493.38;290
B-5;EMMAGATZEMATGE;         6,934.78;3077
B-5;ENSENYAMENT;       366,569.26;13
B-5;ESPORTIU;       251,805.87;5
B-5;INDUSTRIA;        92,192.36;72
B-5;OFICINA;        45,623.67;42
B-5;RELIGIOS;       506,782.00;1
B-5;SOL SENSE EDIFICAR;       229,973.15;11
B-5;VIVENDA;        46,241.71;3976
B-6;ALTRES USOS;       136,526.64;2
B-6;COMERÇ;        86,294.31;178
B-6;EMMAGATZEMATGE;         8,179.46;1913
B-6;ENSENYAMENT;       110,492.48;19
B-6;ESPECTACLES;       110,237.00;1
B-6;ESPORTIU;        91,363.17;3
B-6;HOTEL;       305,644.33;3
B-6;INDUSTRIA;       170,648.07;49
B-6;OFICINA;        54,653.30;58
B-6;PUBLIC;       211,056.67;1
B-6;SOL SENSE EDIFICAR;       130,616.43;13
B-6;VIVENDA;        39,992.20;3041
B-7;COMERÇ;        62,411.86;62
B-7;EMMAGATZEMATGE;         6,085.75;325
B-7;ENSENYAMENT;        40,251.99;1
B-7;ESPORTIU;    12,320,288.01;1
B-7;INDUSTRIA;       120,268.06;10
B-7;OFICINA;        47,873.94;18
B-7;SOL SENSE EDIFICAR;        78,622.10;1
B-7;VIVENDA;        39,111.47;829
B-8;ALTRES USOS;       432,617.06;1
B-8;HOTEL;       213,992.13;1
B-8;INDUSTRIA;       179,253.80;3
B-8;SOL SENSE EDIFICAR;        39,652.21;12
B-8;VIVENDA;       104,764.56;134
B-9;ALTRES USOS;       674,252.55;5
B-9;COMERÇ;        41,500.28;331
B-9;EMMAGATZEMATGE;         6,186.81;2709
B-9;ENSENYAMENT;       292,526.92;3
B-9;ESPORTIU;     1,099,442.99;1
B-9;HOTEL;       106,753.18;2
B-9;INDUSTRIA;        57,588.78;15
B-9;OFICINA;        46,629.41;24
B-9;SOL SENSE EDIFICAR;        42,641.01;35
B-9;VIVENDA;        39,389.56;4708
SENSE IDENTIFICAR;ALTRES USOS;     2,027,010.27;28
SENSE IDENTIFICAR;COMERÇ;        91,030.65;1812
SENSE IDENTIFICAR;EMMAGATZEMATGE;        10,547.33;13160
SENSE IDENTIFICAR;ENSENYAMENT;       510,407.11;57
SENSE IDENTIFICAR;ESPECTACLES;       649,232.30;4
SENSE IDENTIFICAR;ESPORTIU;     2,605,232.17;19
SENSE IDENTIFICAR;HOTEL;       167,745.99;20
SENSE IDENTIFICAR;INDUSTRIA;       190,638.40;548
SENSE IDENTIFICAR;OFICINA;        89,869.32;183
SENSE IDENTIFICAR;PUBLIC;       501,664.46;2
SENSE IDENTIFICAR;RELIGIOS;       320,362.03;19
SENSE IDENTIFICAR;SOL SENSE EDIFICAR;       260,077.96;200
SENSE IDENTIFICAR;VIVENDA;        36,998.14;21419
