DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NR_LOCALS
B-6;INDUSTRIA;       234,576.64;45
B-6;OFICINA;        71,739.51;56
B-6;PUBLIC;       276,217.44;1
B-6;SOL SENSE EDIFICAR;       229,406.68;10
B-6;VIVENDA;        52,155.99;3.097
B-7;COMERÇ;        75,846.64;64
B-7;EMMAGATZEMATGE;         7,873.03;322
B-7;ENSENYAMENT;        52,679.20;1
B-7;ESPORTIU;    16,124,004.43;1
B-7;INDUSTRIA;       170,134.93;10
B-7;OFICINA;        62,869.19;17
B-7;SOL SENSE EDIFICAR;       102,895.56;1
B-7;VIVENDA;        51,242.40;831
B-8;ALTRES USOS;       566,181.50;1
B-8;HOTEL;       233,345.54;1
B-8;INDUSTRIA;       234,595.88;3
B-8;SOL SENSE EDIFICAR;        50,322.20;13
B-8;VIVENDA;       137,265.09;131
B-9;ALTRES USOS;       848,487.82;7
B-9;COMERÇ;        55,158.76;328
B-9;EMMAGATZEMATGE;         8,153.77;2.720
B-9;ENSENYAMENT;       382,840.50;3
B-9;ESPORTIU;     1,438,880.60;1
B-9;HOTEL;       129,308.32;3
B-9;INDUSTRIA;        82,751.44;16
B-9;OFICINA;        64,757.51;23
B-9;SOL SENSE EDIFICAR;        51,794.31;37
B-9;VIVENDA;        51,729.63;4.726
SENSE IDENTIFICAR;ALTRES USOS;     2,379,640.13;37
SENSE IDENTIFICAR;COMERÇ;       121,264.05;1.743
SENSE IDENTIFICAR;EMMAGATZEMATGE;        13,765.20;13.169
SENSE IDENTIFICAR;ENSENYAMENT;       666,652.80;57
SENSE IDENTIFICAR;ESPECTACLES;       860,623.97;2
SENSE IDENTIFICAR;ESPORTIU;     2,890,253.61;26
SENSE IDENTIFICAR;HOTEL;       247,051.59;21
SENSE IDENTIFICAR;INDUSTRIA;       247,266.55;532
SENSE IDENTIFICAR;OFICINA;       122,453.60;198
SENSE IDENTIFICAR;PUBLIC;       656,546.31;2
SENSE IDENTIFICAR;RELIGIOS;       412,545.79;21
SENSE IDENTIFICAR;SOL SENSE EDIFICAR;       340,671.35;218
SENSE IDENTIFICAR;VIVENDA;        49,123.43;20.637
