DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NR_LOCALS
B-29;SOL SENSE EDIFICAR;       225,719.00;7
B-29;VIVENDA;        40,925.65;4.771
B-3;ALTRES USOS;       508,929.58;8
B-3;COMERÇ;        66,308.93;108
B-3;EMMAGATZEMATGE;         7,801.19;1.483
B-3;ENSENYAMENT;       474,608.33;7
B-3;ESPECTACLES;        19,005.39;1
B-3;ESPORTIU;        49,354.28;4
B-3;HOTEL;       124,411.81;2
B-3;INDUSTRIA;       106,235.19;11
B-3;OFICINA;        68,326.14;39
B-3;PUBLIC;     2,478,465.88;1
B-3;SOL SENSE EDIFICAR;        59,070.29;11
B-3;VIVENDA;        70,013.99;1.460
B-30;ALTRES USOS;        73,656.92;5
B-30;COMERÇ;        54,080.55;127
B-30;EMMAGATZEMATGE;         9,070.43;507
B-30;ENSENYAMENT;       348,403.31;2
B-30;INDUSTRIA;        51,959.00;10
B-30;OFICINA;        41,503.80;14
B-30;RELIGIOS;       169,847.94;3
B-30;SOL SENSE EDIFICAR;        22,707.02;4
B-30;VIVENDA;        39,688.58;1.331
B-31;ALTRES USOS;        39,279.39;2
B-31;COMERÇ;        24,115.50;187
B-31;EMMAGATZEMATGE;         7,831.29;193
B-31;ENSENYAMENT;     1,173,314.68;2
B-31;INDUSTRIA;       670,758.67;3
B-31;RELIGIOS;       893,246.13;1
B-31;SOL SENSE EDIFICAR;        35,466.04;2
B-31;VIVENDA;        27,850.84;2.907
B-32;COMERÇ;        25,831.49;84
B-32;EMMAGATZEMATGE;        28,315.84;83
B-32;ENSENYAMENT;       904,328.20;3
B-32;HOTEL;        18,120.98;1
B-32;INDUSTRIA;        15,816.99;3
B-32;OFICINA;        51,417.49;4
B-32;VIVENDA;        30,912.27;1.243
B-33;COMERÇ;       354,417.69;21
B-33;EMMAGATZEMATGE;        14,039.27;120
B-33;ENSENYAMENT;       246,695.60;2
B-33;INDUSTRIA;       394,253.91;136
B-33;OFICINA;       636,547.76;5
B-33;SOL SENSE EDIFICAR;       245,705.05;5
B-33;VIVENDA;        45,794.46;272
B-34;COMERÇ;       287,310.46;13
B-34;EMMAGATZEMATGE;         6,973.38;94
B-34;HOTEL;       114,789.92;1
B-34;INDUSTRIA;       328,236.46;58
B-34;OFICINA;       286,762.12;40
B-34;SOL SENSE EDIFICAR;       721,928.58;3
B-34;VIVENDA;        72,047.33;84
B-4;COMERÇ;        72,991.64;106
B-4;EMMAGATZEMATGE;        18,962.52;820
B-4;ENSENYAMENT;        96,202.43;1
B-4;HOTEL;       127,110.79;5
B-4;INDUSTRIA;       214,851.64;250
B-4;OFICINA;       382,331.57;18
B-4;RELIGIOS;       411,022.44;1
B-4;SOL SENSE EDIFICAR;       622,925.54;37
B-4;VIVENDA;        49,175.56;1.469
B-5;ALTRES USOS;       432,138.26;4
B-5;COMERÇ;        69,484.61;288
B-5;EMMAGATZEMATGE;         8,558.32;3.200
B-5;ENSENYAMENT;       305,354.92;14
B-5;ESPORTIU;       316,872.49;5
B-5;HOTEL;       312,811.18;2
B-5;INDUSTRIA;       124,117.35;69
B-5;OFICINA;        59,345.11;44
B-5;RELIGIOS;       637,734.46;1
B-5;SOL SENSE EDIFICAR;       155,481.20;13
B-5;VIVENDA;        58,681.50;4.039
B-6;ALTRES USOS;       204,476.88;4
B-6;COMERÇ;       104,594.49;181
B-6;EMMAGATZEMATGE;        10,298.07;1.918
B-6;ENSENYAMENT;       155,746.98;18
B-6;ESPECTACLES;       138,722.24;1
B-6;ESPORTIU;       124,568.48;4
B-6;HOTEL;       261,691.17;5
B-6;INDUSTRIA;       222,496.41;47
B-6;OFICINA;        68,980.29;56
B-6;PUBLIC;       265,593.70;1
B-6;SOL SENSE EDIFICAR;       172,532.62;11
B-6;VIVENDA;        50,185.72;3.093
B-7;COMERÇ;        73,997.06;62
B-7;EMMAGATZEMATGE;         7,638.12;323
B-7;ENSENYAMENT;        50,653.08;1
B-7;ESPORTIU;    15,503,850.42;1
B-7;INDUSTRIA;       163,591.28;10
B-7;OFICINA;        60,451.15;17
B-7;SOL SENSE EDIFICAR;        98,938.04;1
B-7;VIVENDA;        49,271.54;831
B-8;ALTRES USOS;       544,405.29;1
B-8;HOTEL;       224,370.72;1
B-8;INDUSTRIA;       225,572.97;3
B-8;SOL SENSE EDIFICAR;        52,411.97;12
B-8;VIVENDA;       131,738.29;136
B-9;ALTRES USOS;       940,554.42;6
B-9;COMERÇ;        52,030.47;327
B-9;EMMAGATZEMATGE;         7,820.59;2.718
B-9;ENSENYAMENT;       368,115.87;3
B-9;ESPORTIU;     1,383,539.04;1
B-9;HOTEL;       124,334.93;3
B-9;INDUSTRIA;        79,568.70;16
B-9;OFICINA;        64,425.28;24
B-9;SOL SENSE EDIFICAR;        53,879.90;33
B-9;VIVENDA;        49,712.41;4.722
SENSE IDENTIFICAR;ALTRES USOS;     2,225,088.67;35
SENSE IDENTIFICAR;COMERÇ;       116,644.87;1.736
SENSE IDENTIFICAR;EMMAGATZEMATGE;        13,147.12;13.126
SENSE IDENTIFICAR;ENSENYAMENT;       651,075.91;56
SENSE IDENTIFICAR;ESPECTACLES;       827,523.06;2
SENSE IDENTIFICAR;ESPORTIU;     2,894,460.92;25
SENSE IDENTIFICAR;HOTEL;       251,986.78;21
SENSE IDENTIFICAR;INDUSTRIA;       237,799.29;535
SENSE IDENTIFICAR;OFICINA;       117,084.38;198
SENSE IDENTIFICAR;PUBLIC;       631,294.54;2
SENSE IDENTIFICAR;RELIGIOS;       418,434.12;19
SENSE IDENTIFICAR;SOL SENSE EDIFICAR;       308,799.25;224
SENSE IDENTIFICAR;VIVENDA;        46,933.74;20.498
