ID,TIPUS_EQUIPAMENT,DESCRIPCIO_TIPUS_EQUIPAMENT,NOM,NOM_CONTACTE,COGNOM1_CONTACTE,COGNOM2_CONTACTE,TELEFON,EMAIL,URL,SIGLA,CARRER,CODI_CARRER,NRO,BIS,ESCALA,PIS,PORTA,CODI_DIVISIO_TERRITORIAL_ADM,CODI_DIVISIO_TERRITORIAL,CODI_POSTAL,CIUTAT,CODI_CIUTAT,PROVINCIA,CODI_PROVINCIA,PAIS,CODI_PAIS,UTMX,UTMY,LATITUD,LONGITUD,TIPO_UTM,ADREÇA_COMPLETA
825,Al.Organ.,Altres organismes,UNIÓ GENERAL DE TREBALLADORS (UGT),,,,93387****,,http://www.ugt.es,,,,,,,,,D-07,B-06,08912,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.24******,,C/ Miquel Servet
826,Al.Organ.,Altres organismes,CONFEDERACIÓ GENERAL DEL TREBALL (CGT),,,,93383****,,http://www.cgt.es,,,,,,,,,D-07,B-05,08912,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.24******,,C/ Alfons XII
827,Comp.Serv.,Companyies de serveis,INSERCOOP,,,,93384****,,http://www.insercoop.com,,,,,,,,,D-01,B-01,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,C/ Francesc Layret
828,Transports,Transport,PARADA METRO POMPEU FABRA,,,,93318****,,http://www.tmb.cat/ca_ES/barcelona/moute/planols/lineametroplano.jsp?linia=2,,,,,,,,,D-01,B-01,08912,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,Av. Martí Pujol
829,Transports,Transport,PARADA METRO ARTIGUES-SANT ADRIÀ,,,,93318****,,http://www.tmb.cat/ca_ES/barcelona/moute/planols/lineametroplano.jsp?linia=2,,,,,,,,,D-06,B-30,08913,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.43******,2.22******,,Av. Alfons XIII
830,Transports,Transport,PARADA METRO SANT ROC,,,,93318****,,http://www.tmb.cat/ca_ES/barcelona/moute/planols/lineametroplano.jsp?linia=2,,,,,,,,,D-06,B-31,08918,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,Av. Marquès de Montroig
831,Transports,Transport,PARADA METRO GORG-L2,,,,93318****,,http://www.tmb.cat/ca_ES/barcelona/moute/planols/lineametroplano.jsp?linia=2,,,,,,,,,D-07,B-04,08918,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,Av. Marquès de Montroig
832,Transports,Transport,PARADA METRO PEP VENTURA,,,,93318****,,http://www.tmb.cat/ca_ES/barcelona/moute/planols/lineametroplano.jsp?linia=2,,,,,,,,,D-07,B-05,08912,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.24******,,Av. Alfons XIII
833,Transports,Transport,PARADA METRO GORG-L10,,,,93318****,,http://www.tmb.cat/ca_ES/barcelona/moute/planols/lineametroplano.jsp?linia=10,,,,,,,,,D-07,B-04,08918,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,Av. Marquès de Montroig
834,Transports,Transport,PARADA METRO LA SALUT,,,,93318****,,http://www.tmb.cat/ca_ES/barcelona/moute/planols/lineametroplano.jsp?linia=10,,,,,,,,,D-04,B-22,08914,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.22******,,Av. Marquès de Sant Mori
835,Transports,Transport,PARADA METRO LLEFIÀ,,,,93318****,,http://www.tmb.cat/ca_ES/barcelona/moute/planols/lineametroplano.jsp?linia=10,,,,,,,,,D-05,B-27,08913,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.22******,,Av. Amèrica
836,Transports,Transport,TRANSPORTS METROPOLITANS BARCELONA (TMB),,,,93318****,,http://www.tmb.net,,,,,,,,,D-,B-,,Barcelona,019,Barcelona,08,ESPAÑA,108,,,,,,
837,Transports,Transport,TRAMBESÒS,,,,90219****,,http://www.trambcn.com,,,,,,,,,D-07,B-04,08918,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,Av. Marquès de Montroig
838,Associac.,Associacions,ASSOCIACIÓ AMICS DE LA SALUT,,,,93460****,amics_de_la_sal**@***********,http://www.amicsdelasalut.com/,,,,,,,,,D-04,B-22,08914,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,C/ Arquitecte Fradera
838,Joventut,Joventut,ASSOCIACIÓ AMICS DE LA SALUT,,,,93460****,amics_de_la_sal**@***********,http://www.amicsdelasalut.com/,,,,,,,,,D-04,B-22,08914,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,C/ Arquitecte Fradera
839,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS DE SANT ROC,,,,93399****,,http://www.santroc.enxarxa.eu,,,,,,,,,D-06,B-31,08918,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,Pl. Sant Roc
840,Altres Ins,Altres instal·lacions esportives,BADA-RODES PARK,,,,,,,,,,,,,,,D-03,B-14,08915,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.25******,,C/ Energia
