NOM_PLATJA;BANDERA;QUALITAT_AIGUA;ESTAT_MAR;MEDUSES;TEMP_AIGUA;TEMP_AMBIENT;FORCA_VENT;TIPUS_VENT;UVI;DATA_ACTUALITZACIO
DE L'ESTACIÓ;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;14/06/2019
DEL PONT DEL PETROLI;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;14/06/2019
DELS PESCADORS;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;14/06/2019
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DEL CRISTALL;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DEL COCO;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DE L'ESTACIÓ;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DELS PATINS DE VELA;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DELS PESCADORS;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DEL PONT D'EN BOTIFARRETA;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DEL CRISTALL;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DEL COCO;VERDA;EXCEL-LENT;Marejol;NO;21;27;calma;Tramuntana(N);Moderat;19/06/2019
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Marejol;NO;21;27;calma;Tramuntana(N);Moderat;19/06/2019
DEL CRISTALL;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DEL PONT D'EN BOTIFARRETA;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DEL COCO;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DE L'ESTACIÓ;VERDA;EXCEL-LENT;Marejol;NO;21;27;calma;Tramuntana(N);Moderat;19/06/2019
DELS PATINS DE VELA;VERDA;EXCEL-LENT;Marejol;NO;21;27;calma;Tramuntana(N);Moderat;19/06/2019
DELS PESCADORS;VERDA;EXCEL-LENT;Marejol;NO;21;27;calma;Tramuntana(N);Moderat;19/06/2019
DEL PONT D'EN BOTIFARRETA;VERDA;EXCEL-LENT;Marejol;NO;21;27;calma;Tramuntana(N);Moderat;19/06/2019
DEL CRISTALL;VERDA;EXCEL-LENT;Marejol;NO;21;27;calma;Tramuntana(N);Moderat;19/06/2019
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Marejol;NO;21;27;calma;Tramuntana(N);Moderat;19/06/2019
DEL COCO;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;19/06/2019
DEL PONT DEL PETROLI;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;19/06/2019
DE L'ESTACIÓ;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;19/06/2019
DELS PATINS DE VELA;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;19/06/2019
DELS PESCADORS;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;19/06/2019
DEL PONT D'EN BOTIFARRETA;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;19/06/2019
DEL CRISTALL;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;19/06/2019
DE LA BARCA MARIA;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;19/06/2019
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DELS PESCADORS;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DELS PATINS DE VELA;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DE L'ESTACIÓ;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Marejol;NO;22;27;calma;Tramuntana(N);Moderat;19/06/2019
DE L'ESTACIÓ;VERDA;EXCEL-LENT;Marejol;NO;21;27;calma;Tramuntana(N);Moderat;20/06/2019
