CODI_DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NRE_LOCALS
S-02015;EMMAGATZEMATGE;        23,481.02;19
S-02015;INDUSTRIA;        42,449.00;1
S-02015;SOL SENSE EDIFICAR;        45,243.05;3
S-02015;VIVENDA;        32,045.77;348
S-03001;COMERÇ;        56,343.91;16
S-03001;EMMAGATZEMATGE;        34,541.44;100
S-03001;HOTEL;       120,890.24;4
S-03001;INDUSTRIA;       290,389.91;69
S-03001;OFICINA;       156,788.92;3
S-03001;SOL SENSE EDIFICAR;       387,219.45;27
S-03001;VIVENDA;        42,337.75;267
S-03002;COMERÇ;        26,166.21;47
S-03002;EMMAGATZEMATGE;        16,808.56;192
S-03002;ENSENYAMENT;        84,093.04;1
S-03002;INDUSTRIA;        62,037.62;108
S-03002;OFICINA;     1,387,561.22;3
S-03002;RELIGIOS;       256,178.71;1
S-03002;SOL SENSE EDIFICAR;        77,471.21;3
S-03002;VIVENDA;        41,327.76;306
S-03003;COMERÇ;        55,258.83;50
S-03003;EMMAGATZEMATGE;         7,601.14;601
S-03003;ENSENYAMENT;        23,622.35;1
S-03003;INDUSTRIA;       135,024.04;9
S-03003;OFICINA;        45,241.71;6
S-03003;SOL SENSE EDIFICAR;       481,588.92;6
S-03003;VIVENDA;        47,336.90;632
S-03004;ALTRES USOS;     1,166,233.61;1
S-03004;COMERÇ;        57,967.78;62
S-03004;EMMAGATZEMATGE;         6,405.91;954
S-03004;ENSENYAMENT;        85,923.82;1
S-03004;ESPORTIU;       285,448.90;1
S-03004;INDUSTRIA;        45,763.27;13
S-03004;OFICINA;        39,654.00;9
S-03004;SOL SENSE EDIFICAR;       119,840.89;3
S-03004;VIVENDA;        55,167.38;909
S-03005;COMERÇ;        38,068.40;10
S-03005;EMMAGATZEMATGE;        11,685.04;100
S-03005;ESPORTIU;       175,153.47;1
S-03005;HOTEL;        92,160.07;2
S-03005;INDUSTRIA;       142,279.98;29
S-03005;OFICINA;        54,289.79;4
S-03005;SOL SENSE EDIFICAR;     1,077,273.11;5
S-03005;VIVENDA;        40,527.40;433
S-03006;COMERÇ;        46,159.26;14
S-03006;EMMAGATZEMATGE;         8,654.53;238
S-03006;ENSENYAMENT;     1,804,948.94;1
S-03006;INDUSTRIA;        59,719.39;15
S-03006;OFICINA;        34,873.66;2
S-03006;VIVENDA;        53,627.87;458
S-03007;COMERÇ;        67,099.82;21
S-03007;EMMAGATZEMATGE;         6,574.49;344
S-03007;ENSENYAMENT;       245,883.43;6
S-03007;ESPORTIU;       333,843.67;1
S-03007;INDUSTRIA;        62,441.71;5
S-03007;OFICINA;        50,073.52;6
S-03007;SOL SENSE EDIFICAR;         3,104.38;1
S-03007;VIVENDA;        54,257.67;416
S-03008;COMERÇ;        49,790.34;31
S-03008;EMMAGATZEMATGE;         9,065.61;85
S-03008;ENSENYAMENT;       336,253.47;1
S-03008;INDUSTRIA;        31,247.23;1
S-03008;OFICINA;        48,900.42;6
S-03008;SOL SENSE EDIFICAR;        56,804.25;3
S-03008;VIVENDA;        53,795.20;275
S-03009;ALTRES USOS;        97,992.86;1
S-03009;COMERÇ;        34,986.97;28
S-03009;EMMAGATZEMATGE;        11,284.08;74
S-03009;ENSENYAMENT;        60,085.67;1
S-03009;ESPORTIU;       405,731.54;1
S-03009;INDUSTRIA;       216,348.81;8
S-03009;OFICINA;        76,296.11;5
S-03009;RELIGIOS;       557,460.20;1
S-03009;VIVENDA;        55,910.13;254
S-03010;COMERÇ;        18,609.58;58
S-03010;EMMAGATZEMATGE;         9,727.72;28
S-03010;ENSENYAMENT;        69,925.84;2
S-03010;HOTEL;        15,840.02;1
S-03010;INDUSTRIA;        13,826.05;3
S-03010;OFICINA;        51,504.59;3
S-03010;VIVENDA;        30,935.76;341
S-03011;COMERÇ;        72,589.50;39
S-03011;EMMAGATZEMATGE;         8,604.10;336
S-03011;ENSENYAMENT;       727,902.78;2
S-03011;INDUSTRIA;       151,498.58;11
S-03011;OFICINA;        37,274.10;4
S-03011;SOL SENSE EDIFICAR;       734,186.73;2
S-03011;VIVENDA;        46,012.51;518
S-03012;ALTRES USOS;       123,373.26;2
S-03012;COMERÇ;        71,938.41;58
S-03012;EMMAGATZEMATGE;         7,058.98;380
S-03012;ESPORTIU;       184,754.66;1
S-03012;INDUSTRIA;       110,577.33;6
S-03012;OFICINA;        66,433.73;8
S-03012;SOL SENSE EDIFICAR;        26,952.21;1
S-03012;VIVENDA;        41,657.68;607
S-03013;COMERÇ;        60,057.03;3
S-03013;EMMAGATZEMATGE;        11,943.83;511
S-03013;OFICINA;        42,100.82;11
S-03013;SOL SENSE EDIFICAR;     1,473,259.55;2
S-03013;VIVENDA;        58,867.76;287
S-04001;ALTRES USOS;       221,864.22;4
S-04001;COMERÇ;        57,744.34;18
S-04001;EMMAGATZEMATGE;         6,089.36;351
S-04001;SOL SENSE EDIFICAR;         8,719.58;2
S-04001;VIVENDA;        58,502.82;497
S-04002;ALTRES USOS;        49,402.43;1
S-04002;COMERÇ;        41,737.18;51
S-04002;EMMAGATZEMATGE;         6,869.39;290
S-04002;ENSENYAMENT;       199,958.53;2
S-04002;INDUSTRIA;        46,806.04;1
S-04002;OFICINA;        28,380.52;5
S-04002;SOL SENSE EDIFICAR;        26,211.06;4
S-04002;VIVENDA;        40,118.65;645
S-04003;COMERÇ;        46,011.00;22
S-04003;EMMAGATZEMATGE;         7,239.02;240
S-04003;ENSENYAMENT;        66,973.35;2
S-04003;OFICINA;        50,879.10;1
S-04003;SOL SENSE EDIFICAR;        93,883.33;9
S-04003;VIVENDA;        47,220.86;322
S-04004;ALTRES USOS;       776,632.71;3
S-04004;COMERÇ;        52,811.60;40
S-04004;EMMAGATZEMATGE;         8,308.90;351
S-04004;INDUSTRIA;        60,742.13;1
S-04004;SOL SENSE EDIFICAR;        91,065.81;3
S-04004;VIVENDA;        54,245.31;575
S-04005;COMERÇ;        72,101.90;37
S-04005;EMMAGATZEMATGE;         9,286.54;298
S-04005;ENSENYAMENT;       565,421.79;1
S-04005;ESPORTIU;     1,209,387.28;1
S-04005;HOTEL;       159,195.43;2
S-04005;INDUSTRIA;       127,100.86;3
S-04005;OFICINA;        35,812.20;8
S-04005;SOL SENSE EDIFICAR;        41,423.49;15
S-04005;VIVENDA;        38,919.25;753
S-04006;COMERÇ;        23,227.56;36
S-04006;EMMAGATZEMATGE;         6,355.78;291
S-04006;HOTEL;         7,662.30;1
S-04006;INDUSTRIA;         8,617.51;1
S-04006;OFICINA;        46,611.37;1
S-04006;SOL SENSE EDIFICAR;        50,765.51;4
S-04006;VIVENDA;        35,924.88;763
S-04007;COMERÇ;        59,838.55;39
S-04007;EMMAGATZEMATGE;         8,267.23;346
S-04007;ENSENYAMENT;     1,381,707.09;2
S-04007;INDUSTRIA;       198,847.90;5
S-04007;OFICINA;       159,439.30;3
S-04007;PUBLIC;     1,611,968.30;1
S-04007;SOL SENSE EDIFICAR;        86,060.51;8
S-04007;VIVENDA;        46,701.42;725
S-04008;COMERÇ;        38,534.93;34
S-04008;EMMAGATZEMATGE;         7,132.47;97
S-04008;INDUSTRIA;        82,252.52;3
S-04008;VIVENDA;        46,113.34;255
S-04009;ALTRES USOS;       266,421.50;1
S-04009;COMERÇ;        47,545.16;19
S-04009;EMMAGATZEMATGE;         9,638.59;101
S-04009;ESPORTIU;        10,884.04;1
S-04009;OFICINA;        33,102.74;1
S-04009;VIVENDA;        44,052.12;249
S-04010;COMERÇ;        60,381.09;34
S-04010;EMMAGATZEMATGE;         8,221.18;138
S-04010;INDUSTRIA;        26,222.75;3
S-04010;OFICINA;       112,290.88;2
