SECCIO_CENSAL;US;PROMIG_VALOR_CAD;NR_LOCALS
S-03003;SOL SENSE EDIFICAR;       590,164.47;6
S-03003;VIVENDA;        58,870.49;635
S-03004;ALTRES USOS;     1,429,164.22;1
S-03004;COMERÇ;        71,799.26;61
S-03004;EMMAGATZEMATGE;         7,843.60;951
S-03004;ENSENYAMENT;       105,295.57;1
S-03004;ESPORTIU;       349,804.15;1
S-03004;INDUSTRIA;        54,243.78;12
S-03004;OFICINA;        48,594.08;9
S-03004;SOL SENSE EDIFICAR;       194,060.31;2
S-03004;VIVENDA;        67,367.72;916
S-03005;COMERÇ;        46,234.26;10
S-03005;EMMAGATZEMATGE;         8,085.50;489
S-03005;ESPORTIU;       214,642.29;1
S-03005;HOTEL;       112,937.81;2
S-03005;INDUSTRIA;       149,619.86;23
S-03005;OFICINA;       104,313.72;3
S-03005;SOL SENSE EDIFICAR;       446,323.80;11
S-03005;VIVENDA;        51,069.39;466
S-03006;COMERÇ;        56,969.84;14
S-03006;EMMAGATZEMATGE;        11,292.39;253
S-03006;INDUSTRIA;        72,835.29;9
S-03006;OFICINA;        42,736.01;2
S-03006;SOL SENSE EDIFICAR;        24,543.15;1
S-03006;VIVENDA;        67,657.65;474
S-03007;COMERÇ;        84,847.24;20
S-03007;EMMAGATZEMATGE;         7,834.11;392
S-03007;ENSENYAMENT;       406,363.04;4
S-03007;ESPORTIU;       409,109.64;1
S-03007;INDUSTRIA;        84,950.62;4
S-03007;OFICINA;        61,362.71;6
S-03007;SOL SENSE EDIFICAR;         3,804.25;1
S-03007;VIVENDA;        68,856.29;433
S-03008;COMERÇ;        73,269.48;33
S-03008;EMMAGATZEMATGE;        11,170.10;83
S-03008;ENSENYAMENT;       260,160.63;3
S-03008;ESPORTIU;       112,531.24;1
S-03008;OFICINA;        60,369.21;7
S-03008;SOL SENSE EDIFICAR;        65,673.59;2
S-03008;VIVENDA;        66,876.04;280
S-03009;ALTRES USOS;       120,085.60;1
S-03009;COMERÇ;        46,564.51;29
S-03009;EMMAGATZEMATGE;        13,255.46;72
S-03009;ENSENYAMENT;        73,632.12;1
S-03009;ESPORTIU;       497,204.83;1
S-03009;INDUSTRIA;       344,088.67;8
S-03009;OFICINA;        93,763.89;5
S-03009;RELIGIOS;       683,141.14;1
S-03009;VIVENDA;        71,327.80;255
S-03010;COMERÇ;        24,275.34;59
S-03010;EMMAGATZEMATGE;        10,955.58;28
S-03010;ENSENYAMENT;       158,047.07;1
S-03010;HOTEL;        19,411.18;1
S-03010;INDUSTRIA;        16,943.14;3
S-03010;OFICINA;        63,116.43;3
S-03010;VIVENDA;        37,789.56;341
S-03011;COMERÇ;       115,437.44;46
S-03011;EMMAGATZEMATGE;        10,741.46;435
S-03011;ENSENYAMENT;       892,010.49;2
S-03011;INDUSTRIA;       190,838.02;11
S-03011;OFICINA;        45,677.62;4
S-03011;SOL SENSE EDIFICAR;       408,691.62;1
S-03011;VIVENDA;        58,503.48;626
S-03012;ALTRES USOS;       150,359.89;2
S-03012;COMERÇ;        94,054.93;56
S-03012;EMMAGATZEMATGE;         8,059.12;379
S-03012;ENSENYAMENT;       121,707.92;1
S-03012;ESPORTIU;       226,408.10;1
S-03012;INDUSTRIA;       130,259.01;6
S-03012;OFICINA;        82,121.73;8
S-03012;VIVENDA;        52,821.12;609
S-03013;COMERÇ;        79,415.33;3
S-03013;EMMAGATZEMATGE;        14,671.35;508
S-03013;OFICINA;        41,943.51;1
S-03013;SOL SENSE EDIFICAR;     1,825,113.74;4
S-03013;VIVENDA;        70,983.68;292
S-04001;ALTRES USOS;       271,884.11;4
S-04001;COMERÇ;        70,762.94;18
S-04001;EMMAGATZEMATGE;         7,462.20;351
S-04001;SOL SENSE EDIFICAR;        10,685.42;2
S-04001;VIVENDA;        71,706.55;493
S-04002;ALTRES USOS;        83,686.04;2
S-04002;COMERÇ;        50,239.31;50
S-04002;EMMAGATZEMATGE;         8,588.74;296
S-04002;ENSENYAMENT;       187,313.57;3
S-04002;INDUSTRIA;        47,512.09;1
S-04002;OFICINA;        34,778.97;5
S-04002;SOL SENSE EDIFICAR;        14,638.84;4
S-04002;VIVENDA;        50,388.61;647
S-04003;COMERÇ;        60,687.76;22
S-04003;EMMAGATZEMATGE;         8,618.15;319
S-04003;ENSENYAMENT;        63,955.04;2
S-04003;OFICINA;        61,246.62;5
S-04003;SOL SENSE EDIFICAR;        30,912.09;8
S-04003;VIVENDA;        58,303.71;340
S-04004;ALTRES USOS;     1,416,341.36;3
S-04004;COMERÇ;        63,843.13;40
S-04004;EMMAGATZEMATGE;        10,182.15;351
S-04004;INDUSTRIA;        74,436.59;1
S-04004;SOL SENSE EDIFICAR;       106,952.76;3
S-04004;VIVENDA;        66,388.23;573
S-04005;COMERÇ;        98,662.74;37
S-04005;EMMAGATZEMATGE;        11,411.49;296
S-04005;ENSENYAMENT;       692,897.69;1
S-04005;ESPORTIU;     1,482,047.01;1
S-04005;HOTEL;       195,086.46;2
S-04005;INDUSTRIA;       169,103.83;4
S-04005;OFICINA;        53,806.04;7
S-04005;SOL SENSE EDIFICAR;        49,436.42;12
S-04005;VIVENDA;        47,606.88;755
S-04006;COMERÇ;        28,464.26;36
S-04006;EMMAGATZEMATGE;         7,785.27;292
S-04006;HOTEL;         9,389.77;1
S-04006;INDUSTRIA;        10,560.34;1
S-04006;OFICINA;        57,120.01;1
S-04006;SOL SENSE EDIFICAR;        49,130.57;6
S-04006;VIVENDA;        44,099.37;760
S-04007;ALTRES USOS;        82,190.08;1
S-04007;COMERÇ;        71,142.39;38
S-04007;EMMAGATZEMATGE;         9,101.37;339
S-04007;ENSENYAMENT;     1,693,216.80;2
S-04007;INDUSTRIA;       290,308.38;4
S-04007;OFICINA;       276,841.47;2
S-04007;PUBLIC;     1,975,391.05;1
S-04007;SOL SENSE EDIFICAR;       148,414.37;9
S-04007;VIVENDA;        58,021.48;733
S-04008;ALTRES USOS;        72,465.83;1
S-04008;COMERÇ;        47,340.92;34
S-04008;EMMAGATZEMATGE;         8,584.16;96
S-04008;INDUSTRIA;       100,796.57;3
S-04008;VIVENDA;        56,269.57;253
S-04009;ALTRES USOS;       326,486.95;1
S-04009;COMERÇ;        57,850.53;21
S-04009;EMMAGATZEMATGE;        11,445.70;100
S-04009;ESPORTIU;        13,337.86;1
S-04009;VIVENDA;        52,672.45;258
S-04010;COMERÇ;        73,291.23;33
S-04010;EMMAGATZEMATGE;         9,823.29;137
S-04010;INDUSTRIA;        32,134.72;3
S-04010;OFICINA;       137,607.15;2
S-04010;SOL SENSE EDIFICAR;        37,483.52;4
S-04010;VIVENDA;        41,078.72;433
S-04011;COMERÇ;        93,561.42;47
S-04011;EMMAGATZEMATGE;         9,914.78;302
S-04011;INDUSTRIA;       300,073.89;7
S-04011;OFICINA;        26,599.92;5
S-04011;RELIGIOS;        74,756.14;1
S-04011;SOL SENSE EDIFICAR;     1,290,635.93;1
S-04011;VIVENDA;        46,919.47;574
S-04012;ALTRES USOS;        84,538.97;1
S-04012;COMERÇ;        51,403.11;71
S-04012;EMMAGATZEMATGE;         9,982.14;451
S-04012;ENSENYAMENT;        77,266.76;2
S-04012;INDUSTRIA;        56,344.95;2
S-04012;OFICINA;       145,047.03;3
S-04012;SOL SENSE EDIFICAR;       110,225.72;2
S-04012;VIVENDA;        50,749.09;788
S-04013;ALTRES USOS;        67,641.39;3
S-04013;COMERÇ;        49,099.40;34
S-04013;EMMAGATZEMATGE;         7,337.85;308
S-04013;ENSENYAMENT;     1,580,149.53;1
S-04013;ESPORTIU;         4,117.56;15
S-04013;OFICINA;        32,473.03;1
S-04013;SOL SENSE EDIFICAR;        66,366.51;6
