CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
S-04014;80+;19;26
S-04015;000-010;59;52
S-04015;011-020;117;125
S-04015;021-030;78;72
S-04015;031-040;74;63
S-04015;041-050;144;176
S-04015;051-060;111;115
S-04015;061-070;64;74
S-04015;071-080;27;28
S-04015;80+;8;11
S-04016;000-010;101;85
S-04016;011-020;181;165
S-04016;021-030;94;83
S-04016;031-040;89;98
S-04016;041-050;229;272
S-04016;051-060;175;163
S-04016;061-070;97;96
S-04016;071-080;42;48
S-04016;80+;25;35
S-05001;000-010;110;99
S-05001;011-020;136;108
S-05001;021-030;96;95
S-05001;031-040;132;121
S-05001;041-050;207;222
S-05001;051-060;163;151
S-05001;061-070;134;126
S-05001;071-080;78;111
S-05001;80+;67;154
S-05002;000-010;42;30
S-05002;011-020;37;45
S-05002;021-030;27;30
S-05002;031-040;30;34
S-05002;041-050;68;78
S-05002;051-060;40;44
S-05002;061-070;36;65
S-05002;071-080;67;74
S-05002;80+;23;35
S-05003;000-010;119;108
S-05003;011-020;146;142
S-05003;021-030;117;120
S-05003;031-040;158;160
S-05003;041-050;187;193
S-05003;051-060;171;196
S-05003;061-070;167;186
S-05003;071-080;95;89
S-05003;80+;52;96
S-05004;000-010;153;123
S-05004;011-020;118;118
S-05004;021-030;111;99
S-05004;031-040;231;206
S-05004;041-050;228;253
S-05004;051-060;165;187
S-05004;061-070;142;151
S-05004;071-080;91;108
S-05004;80+;59;86
S-05005;000-010;92;73
S-05005;011-020;114;101
S-05005;021-030;84;67
S-05005;031-040;118;116
S-05005;041-050;163;193
S-05005;051-060;157;140
S-05005;061-070;87;104
S-05005;071-080;103;132
S-05005;80+;70;91
S-05006;000-010;43;51
S-05006;011-020;59;64
S-05006;021-030;48;54
S-05006;031-040;75;75
S-05006;041-050;93;104
S-05006;051-060;91;107
S-05006;061-070;72;79
S-05006;071-080;40;62
S-05006;80+;35;73
S-06001;000-010;57;66
S-06001;011-020;84;87
S-06001;021-030;59;49
S-06001;031-040;81;71
S-06001;041-050;132;125
S-06001;051-060;103;93
S-06001;061-070;86;86
S-06001;071-080;32;38
S-06001;80+;28;46
S-06002;000-010;59;53
S-06002;011-020;88;76
S-06002;021-030;94;88
S-06002;031-040;87;74
S-06002;041-050;102;114
S-06002;051-060;151;155
S-06002;061-070;139;126
S-06002;071-080;74;77
S-06002;80+;40;48
S-06003;000-010;37;34
S-06003;011-020;52;57
S-06003;021-030;57;41
S-06003;031-040;74;57
S-06003;041-050;72;85
S-06003;051-060;92;74
S-06003;061-070;50;56
S-06003;071-080;55;81
S-06003;80+;34;63
S-06004;000-010;54;56
S-06004;011-020;58;58
S-06004;021-030;62;64
S-06004;031-040;82;94
S-06004;041-050;89;83
S-06004;051-060;89;87
S-06004;061-070;56;56
S-06004;071-080;41;74
S-06004;80+;38;81
S-06005;000-010;68;58
S-06005;011-020;72;50
S-06005;021-030;61;64
S-06005;031-040;91;88
S-06005;041-050;107;100
S-06005;051-060;107;104
S-06005;061-070;60;67
S-06005;071-080;56;84
S-06005;80+;47;88
S-06006;000-010;38;38
S-06006;011-020;44;41
S-06006;021-030;53;47
S-06006;031-040;61;58
S-06006;041-050;72;77
S-06006;051-060;85;85
S-06006;061-070;63;65
S-06006;071-080;36;42
S-06006;80+;34;67
S-07001;000-010;80;85
S-07001;011-020;104;97
S-07001;021-030;122;112
S-07001;031-040;137;131
S-07001;041-050;171;173
S-07001;051-060;124;141
S-07001;061-070;100;102
S-07001;071-080;56;77
S-07001;80+;30;65
S-07002;000-010;81;94
S-07002;011-020;126;114
S-07002;021-030;123;115
S-07002;031-040;154;145
S-07002;041-050;174;163
S-07002;051-060;169;208
S-07002;061-070;176;203
S-07002;071-080;67;82
S-07002;80+;44;60
S-07003;000-010;46;67
S-07003;011-020;70;53
S-07003;021-030;85;76
S-07003;031-040;111;117
S-07003;041-050;145;137
S-07003;051-060;97;120
S-07003;061-070;63;86
S-07003;071-080;42;59
S-07003;80+;52;103
S-07004;000-010;65;55
S-07004;011-020;48;49
S-07004;021-030;47;56
S-07004;031-040;84;81
S-07004;041-050;95;115
S-07004;051-060;72;87
S-07004;061-070;51;67
S-07004;071-080;38;44
S-07004;80+;29;56
S-07005;000-010;46;35
S-07005;011-020;51;48
S-07005;021-030;43;45
S-07005;031-040;64;78
S-07005;041-050;78;86
S-07005;051-060;57;55
S-07005;061-070;37;39
S-07005;071-080;35;35
S-07005;80+;16;45
S-07006;000-010;53;44
S-07006;011-020;75;37
S-07006;021-030;59;51
S-07006;031-040;78;91
S-07006;041-050;92;98
S-07006;051-060;61;68
S-07006;061-070;55;76
S-07006;071-080;48;57
S-07006;80+;23;38
S-07007;000-010;76;48
S-07007;011-020;68;70
S-07007;021-030;81;71
S-07007;031-040;97;86
S-07007;041-050;111;93
S-07007;051-060;81;77
S-07007;061-070;45;44
S-07007;071-080;32;44
S-07007;80+;19;22
S-07008;000-010;100;72
S-07008;011-020;110;91
S-07008;021-030;104;107
S-07008;031-040;127;115
S-07008;041-050;150;137
S-07008;051-060;104;85
S-07008;061-070;62;65
S-07008;071-080;37;48
S-07008;80+;18;34
S-07009;000-010;45;47
S-07009;011-020;46;51
S-07009;021-030;44;37
S-07009;031-040;64;72
S-07009;041-050;86;61
S-07009;051-060;55;47
S-07009;061-070;27;31
S-07009;071-080;24;28
S-07009;80+;8;25
S-07010;000-010;50;44
S-07010;011-020;59;47
S-07010;021-030;61;55
S-07010;031-040;74;70
S-07010;041-050;73;76
S-07010;051-060;57;58
S-07010;061-070;39;49
S-07010;071-080;35;35
S-07010;80+;25;40
S-07011;000-010;94;94
S-07011;011-020;88;87
S-07011;021-030;100;110
S-07011;031-040;167;182
S-07011;041-050;154;137
S-07011;051-060;134;141
S-07011;061-070;110;111
S-07011;071-080;66;82
S-07011;80+;43;95
S-07012;000-010;60;60
S-07012;011-020;59;58
S-07012;021-030;49;51
S-07012;031-040;71;87
S-07012;041-050;114;95
S-07012;051-060;81;79
S-07012;061-070;99;115
S-07012;071-080;57;73
S-07012;80+;36;53
S-07013;000-010;149;137
S-07013;011-020;164;112
S-07013;021-030;159;138
S-07013;031-040;182;174
S-07013;041-050;217;181
S-07013;051-060;163;136
S-07013;061-070;79;91
S-07013;071-080;71;75
S-07013;80+;33;57
S-07014;000-010;77;83
S-07014;011-020;86;78
S-07014;021-030;92;83
S-07014;031-040;130;131
S-07014;041-050;158;146
S-07014;051-060;101;100
S-07014;061-070;95;103
S-07014;071-080;72;82
S-07014;80+;45;62
S-07015;000-010;69;61
S-07015;011-020;65;66
S-07015;021-030;63;64
S-07015;031-040;72;87
S-07015;041-050;98;81
S-07015;051-060;69;63
S-07015;061-070;42;55
S-07015;071-080;42;33
S-07015;80+;13;31
S-07017;000-010;204;185
S-07017;011-020;198;185
S-07017;021-030;214;180
S-07017;031-040;260;234
S-07017;041-050;301;257
S-07017;051-060;222;197
S-07017;061-070;122;138
S-07017;071-080;97;120
S-07017;80+;49;86
S-07018;000-010;56;43
S-07018;011-020;61;61
S-07018;021-030;96;77
S-07018;031-040;100;110
S-07018;041-050;91;94
S-07018;051-060;90;137
S-07018;061-070;179;171
S-07018;071-080;39;38
S-07018;80+;13;28
S-07020;000-010;34;22
S-07020;011-020;40;37
S-07020;021-030;39;44
S-07020;031-040;46;61
S-07020;041-050;80;75
S-07020;051-060;77;73
S-07020;061-070;29;33
S-07020;071-080;53;96
S-07020;80+;48;70
S-07021;000-010;45;42
S-07021;011-020;33;41
S-07021;021-030;35;38
S-07021;031-040;61;65
S-07021;041-050;90;67
S-07021;051-060;48;53
S-07021;061-070;47;62
S-07021;071-080;46;58
S-07021;80+;27;37
S-07022;000-010;34;20
S-07022;011-020;32;29
S-07022;021-030;33;40
S-07022;031-040;36;56
S-07022;041-050;68;67
S-07022;051-060;50;58
S-07022;061-070;62;67
S-07022;071-080;28;41
S-07022;80+;25;31
S-07023;000-010;84;76
S-07023;011-020;112;102
S-07023;021-030;93;88
S-07023;031-040;128;121
S-07023;041-050;162;193
S-07023;051-060;145;147
S-07023;061-070;129;147
S-07023;071-080;78;103
S-07023;80+;63;107
S-07024;000-010;75;66
S-07024;011-020;100;89
S-07024;021-030;106;90
S-07024;031-040;130;107
S-07024;041-050;163;170
S-07024;051-060;145;150
S-07024;061-070;95;113
S-07024;071-080;58;64
S-07024;80+;31;73
S-07028;000-010;90;107
S-07028;011-020;119;114
S-07028;021-030;107;123
S-07028;031-040;136;123
S-07028;041-050;186;170
S-07028;051-060;111;115
S-07028;061-070;94;117
S-07028;071-080;104;116
S-07028;80+;47;62
S-07029;000-010;75;66
S-07029;011-020;107;88
S-07029;021-030;104;70
S-07029;031-040;140;116
S-07029;041-050;135;155
S-07029;051-060;104;146
S-07029;061-070;210;239
S-07029;071-080;89;91
S-07029;80+;36;43
S-07030;000-010;64;46
S-07030;011-020;136;126
S-07030;021-030;126;93
S-07030;031-040;102;80
S-07030;041-050;145;161
S-07030;051-060;191;221
S-07030;061-070;135;124
S-07030;071-080;73;70
S-07030;80+;16;41
S-07031;000-010;55;57
S-07031;011-020;69;71
S-07031;021-030;58;68
S-07031;031-040;81;95
S-07031;041-050;116;105
S-07031;051-060;76;115
S-07031;061-070;131;118
S-07031;071-080;40;41
S-07031;80+;14;25
S-08001;000-010;137;132
S-08001;011-020;161;159
S-08001;021-030;159;131
S-08001;031-040;196;165
S-08001;041-050;286;251
