DIVISIO_TERRITORIAL,2013,2013_NR_LOCALS,2014,2014_NR_LOCALS,2015,2015_NR_LOCALS,2016,2016_NR_LOCALS,2017,2017_NR_LOCALS,2018,2018_NR_LOCALS,2019,2019_NR_LOCALS,NOM_DIVISIO_TERRITORIAL,% 2013,% 2014,% 2015,% 2016,% 2017,% 2018,% 2019
B-02,49728.1,722,54588.86,718,59333.09,720,66921.93,683,56057.01,1280,71456.93,687,60688.63,1318,Coll i Pujol,0.0,9.774674680914819,19.315015051851965,34.5756825617709,12.727029586893535,43.695274904933015,22.040918514883938
B-20,32320.38,3216,35570.97,3210,39133.85,3209,42931.29,3245,44645.91,3247,46426.81,3248,48023.53,3294,Nova Lloreda,0.0,10.057400315219066,21.081033081913013,32.830399890100296,38.135473654703326,43.64561926561506,48.58590771519393
B-21,27177.74,1729,29834.87,1730,32800.85,1729,36098.24,1739,37504.66,1739,38955.18,1751,40067.35,1739,Sistrells,0.0,9.776861505040511,20.690130967475575,32.82281749696625,37.997714305898874,43.33487626270616,47.42708554868799
B-22,23776.34,5717,26001.65,5682,28639.0,5681,31477.78,5680,32728.7,5687,33971.4,5676,34949.68,5629,La Salut,0.0,9.359346308136582,20.451675909748936,32.3911922524661,37.65238888744021,42.879013338470095,46.99352381401006
B-23,25328.4,897,27749.28,891,30537.01,892,33543.64,895,34853.54,895,36023.46,902,37133.73,893,Lloreda,0.0,9.557966551381048,20.564307259834795,32.43489521643688,37.6065602248859,42.22556497844316,46.60906334391435
B-24,23584.48,1350,26355.14,1345,28923.1,1347,32422.02,1151,33670.14,1153,35016.94,1153,36100.68,1138,La Pau,0.0,11.747810424482541,22.63615733736762,37.47184589187466,42.763970204134246,48.47450526787109,53.06964580096742
B-25,31691.13,1791,34871.42,1797,38104.34,1779,42034.17,2026,43720.65,2024,45400.03,2027,46746.33,2018,Puigfred,0.0,10.035268543595627,20.236608792428655,32.637018623192034,37.95863385117539,43.25784533400985,47.506037178226215
B-26,62469.19,1343,68743.96,1338,75618.35,1338,83227.46,1338,86562.24,1338,89969.55,1339,92700.29,1334,Montigalà,0.0,10.044583577920578,21.049032330977884,33.22961286996038,38.56789242825143,44.02227722177925,48.393616117001024
B-27,22734.57,2499,24969.84,2490,27462.89,2490,30154.59,2505,31090.62,2343,32630.31,2472,33313.69,2324,Sant Joan de Llefià,0.0,9.832031131444317,20.797930200571198,32.63760871659328,36.75481876279164,43.52728026085385,46.53318712427815
B-28,24725.48,3623,27164.71,3500,29753.93,3620,32583.19,3911,33959.48,4035,35230.44,3916,36369.5,4049,Sant Antoni de Llefià,0.0,9.8652483187384,20.33711782339514,31.779807712529745,37.346089944462165,42.4863743797896,47.09320102177996
B-29,29562.83,4682,32495.65,4666,35703.36,4669,39404.25,4767,40925.65,4771,42592.31,4770,43902.92,4746,Sant Mori de Llefià,0.0,9.920633444091784,20.771116973577964,33.289844037258945,38.436171367896776,44.07385896411134,48.50716254161051
B-03,49876.15,1436,54745.22,1437,60163.74,1437,66789.63,1456,70013.99,1460,72771.72,1485,75282.61,1523,Dalt de la Vila,0.0,9.762321269785257,20.626271273945555,33.91095744158281,40.375690585580486,45.90484630429574,50.939096141141604
B-30,28707.17,1327,31499.75,1326,34630.83,1330,38148.04,1330,39688.58,1331,41281.39,1332,42632.61,1322,Artigas,0.0,9.72781364376914,20.634775214693764,32.88680145064806,38.25319597856564,43.80167045375772,48.50857817054068
B-31,19704.68,2934,21701.68,2900,23875.71,2898,26495.5,2925,27850.84,2907,28955.36,2908,29870.23,2853,Sant Roc,0.0,10.134648215550824,21.167712441917345,34.462980368115595,41.34124482102729,46.94661369786264,51.589520865093974
B-32,21946.93,1215,24125.75,1206,26478.77,1206,29722.73,1242,30912.27,1243,32120.3,1244,33030.5,1236,Congrés,0.0,9.927675533662338,20.649083949326855,35.43001230696047,40.85008700533515,46.35441038906124,50.50168747975229
B-33,32934.29,273,36225.02,274,39849.86,273,43910.97,273,45794.46,272,47626.23,272,48874.16,271,El Remei,0.0,9.991804893926652,20.9980843673873,33.32903183885245,39.04796490223411,44.6098579929915,48.399009057125575
B-34,52048.4,84,57253.23,84,62978.44,84,69276.28,84,72047.33,84,74929.22,84,77177.09,84,La Mora,0.0,9.999980787113536,20.999761760207807,33.09973025107399,38.423717155570586,43.96065969366973,48.27946680397475
B-04,35064.63,1390,38432.46,1375,43157.95,1449,47135.99,1464,49175.56,1469,51686.92,1495,56300.39,1633,Gorg,0.0,9.604635782553537,23.08115043563842,34.426029876830306,40.24263196274993,47.4047209395907,60.561768368866296
B-05,42082.55,3982,46241.71,3976,50939.95,3973,56367.54,4037,58681.5,4039,61180.47,4113,63482.34,4121,Progrés,0.0,9.883336442302085,21.04767890729054,33.94516254361962,39.443783706072935,45.38204077462035,50.85193268944014
B-06,36456.66,3049,39992.2,3041,44129.77,3050,48286.39,3086,50185.72,3093,52155.99,3097,54082.25,3087,Raval,0.0,9.697926249963636,21.047210578259207,32.44874873342757,37.65857870688098,43.06299589704595,48.34669440371113
B-07,35544.29,831,39111.47,829,43022.61,829,47359.7,831,49271.54,831,51242.4,831,52805.01,826,Can Claris,0.0,10.035873553811316,21.039441215452605,33.24137294625943,38.62012717091831,44.164927756328794,48.56116130045079
B-08,94385.67,133,104764.56,134,114668.59,130,126740.33,131,131738.29,136,137265.09,131,141360.43,136,Canyet,0.0,10.996256105402441,21.48940617786577,34.27920785008996,39.574460826521666,45.430010720907106,49.76895327436887
