CODI_DIVISIO_TERRITORIAL;BARRI;COMUNITAT_AUTONOMA;ZERO_14ANYS;DE_15_24ANYS;DE_25_44ANYS;DE_45_64ANYS;DE_65ANYS_I_MES;TOTAL
B-28;Sant Antoni De Llefià;Castella-Lleó;1;0;18;142;212;373
B-28;Sant Antoni De Llefià;Catalunya;2.045;1.004;2.838;1.866;515;8.268
B-28;Sant Antoni De Llefià;Ceuta-Melilla;0;0;5;24;28;57
B-28;Sant Antoni De Llefià;Comunitat Valenciana;3;1;12;16;45;77
B-28;Sant Antoni De Llefià;estranger;159;396;1.337;679;89;2.660
B-28;Sant Antoni De Llefià;Extremadura;0;0;12;228;276;516
B-28;Sant Antoni De Llefià;Galícia;1;2;19;63;116;201
B-28;Sant Antoni De Llefià;Madrid (Comunitat de);3;4;11;18;13;49
B-28;Sant Antoni De Llefià;Múrcia (Regió de);2;0;3;41;122;168
B-28;Sant Antoni De Llefià;Navarra (Comunitat Foral de);0;0;2;2;7;11
B-28;Sant Antoni De Llefià;País Basc;2;0;8;5;3;18
B-28;Sant Antoni De Llefià;Rioja (La);0;0;0;1;3;4
B-29;Sant Mori De Llefià;Andalusia;14;12;80;1.001;1.345;2.452
B-29;Sant Mori De Llefià;Aragó;3;0;6;41;73;123
B-29;Sant Mori De Llefià;Astúries (Principat d');0;0;1;6;7;14
B-29;Sant Mori De Llefià;Balears (Illes);1;0;2;1;1;5
B-29;Sant Mori De Llefià;Canàries;1;0;3;2;1;7
B-29;Sant Mori De Llefià;Cantàbria;0;0;3;4;4;11
B-29;Sant Mori De Llefià;Castella-la Manxa;0;1;9;132;240;382
B-29;Sant Mori De Llefià;Castella-Lleó;0;3;14;138;172;327
B-29;Sant Mori De Llefià;Catalunya;1.884;997;2.742;1.741;508;7.872
B-29;Sant Mori De Llefià;Ceuta-Melilla;0;0;0;27;26;53
B-29;Sant Mori De Llefià;Comunitat Valenciana;9;1;18;23;28;79
B-29;Sant Mori De Llefià;estranger;179;399;1.258;591;84;2.511
B-29;Sant Mori De Llefià;Extremadura;3;0;20;220;308;551
B-29;Sant Mori De Llefià;Galícia;1;1;18;76;104;200
B-29;Sant Mori De Llefià;Madrid (Comunitat de);6;2;14;18;24;64
B-29;Sant Mori De Llefià;Múrcia (Regió de);2;0;10;42;98;152
B-29;Sant Mori De Llefià;Navarra (Comunitat Foral de);1;0;2;3;5;11
B-29;Sant Mori De Llefià;País Basc;1;0;8;10;5;24
B-29;Sant Mori De Llefià;Rioja (La);0;0;0;0;4;4
B-30;Artigas;Andalusia;3;1;21;141;210;376
B-30;Artigas;Aragó;1;0;3;8;33;45
B-30;Artigas;Astúries (Principat d');0;0;1;4;2;7
B-30;Artigas;Balears (Illes);1;0;1;2;2;6
B-30;Artigas;Canàries;0;0;5;0;0;5
B-30;Artigas;Cantàbria;0;0;1;0;0;1
B-30;Artigas;Castella-la Manxa;0;0;3;33;43;79
B-30;Artigas;Castella-Lleó;0;0;3;29;32;64
B-30;Artigas;Catalunya;727;234;675;484;240;2.360
B-30;Artigas;Ceuta-Melilla;3;1;1;7;9;21
B-30;Artigas;Comunitat Valenciana;1;1;4;8;13;27
B-30;Artigas;estranger;148;286;984;449;37;1.904
B-30;Artigas;Extremadura;0;1;5;34;33;73
B-30;Artigas;Galícia;0;0;6;19;25;50
B-30;Artigas;Madrid (Comunitat de);0;1;5;9;4;19
B-30;Artigas;Múrcia (Regió de);0;0;1;6;26;33
B-30;Artigas;País Basc;0;0;3;2;3;8
B-30;Artigas;Rioja (La);0;0;1;1;0;2
B-31;Sant Roc;Andalusia;13;4;33;381;771;1.202
B-31;Sant Roc;Aragó;0;0;7;22;30;59
B-31;Sant Roc;Astúries (Principat d');0;0;1;7;1;9
B-31;Sant Roc;Balears (Illes);5;1;7;6;3;22
B-31;Sant Roc;Canàries;2;0;2;3;3;10
B-31;Sant Roc;Castella-la Manxa;3;2;7;53;116;181
B-31;Sant Roc;Castella-Lleó;4;0;6;31;61;102
B-31;Sant Roc;Catalunya;1.993;961;1.839;1.585;416;6.794
B-31;Sant Roc;Ceuta-Melilla;0;1;2;13;24;40
B-31;Sant Roc;Comunitat Valenciana;3;0;12;21;30;66
B-31;Sant Roc;estranger;278;656;1.835;922;58;3.749
B-31;Sant Roc;Extremadura;4;2;5;74;120;205
B-31;Sant Roc;Galícia;0;0;3;17;31;51
B-31;Sant Roc;Madrid (Comunitat de);3;2;11;19;18;53
B-31;Sant Roc;Múrcia (Regió de);1;0;2;30;83;116
B-31;Sant Roc;Navarra (Comunitat Foral de);2;0;0;3;5;10
B-31;Sant Roc;País Basc;0;0;2;2;2;6
B-31;Sant Roc;Rioja (La);1;0;0;0;1;2
B-32;Congrés;Andalusia;3;0;10;80;304;397
B-32;Congrés;Aragó;2;0;3;5;57;67
B-32;Congrés;Astúries (Principat d');0;0;0;3;3;6
B-32;Congrés;Balears (Illes);0;0;2;0;0;2
B-32;Congrés;Canàries;0;2;0;0;1;3
B-32;Congrés;Cantàbria;0;0;0;1;1;2
B-32;Congrés;Castella-la Manxa;1;0;0;11;69;81
B-32;Congrés;Castella-Lleó;1;0;4;14;87;106
B-32;Congrés;Catalunya;453;216;573;525;304;2.071
B-32;Congrés;Ceuta-Melilla;0;0;0;5;7;12
B-32;Congrés;Comunitat Valenciana;0;0;0;4;21;25
B-32;Congrés;estranger;28;109;323;166;22;648
