CODI_DIVISIO_TERRITORIAL;BARRI;COMUNITAT_AUTONOMA;ZERO_14ANYS;DE_15_24ANYS;DE_25_44ANYS;DE_45_64ANYS;DE_65ANYS_I_MES;TOTAL
B-27;Sant Joan De Llefià;Canàries;3;0;0;2;2;7
B-27;Sant Joan De Llefià;Cantàbria;0;0;1;4;0;5
B-27;Sant Joan De Llefià;Castella-la Manxa;0;0;10;152;165;327
B-27;Sant Joan De Llefià;Castella-Lleó;0;1;14;133;115;263
B-27;Sant Joan De Llefià;Catalunya;1823;895;2671;1145;154;6688
B-27;Sant Joan De Llefià;Ceuta-Melilla;1;0;6;29;21;57
B-27;Sant Joan De Llefià;Comunitat Valenciana;6;1;11;17;26;61
B-27;Sant Joan De Llefià;estranger;195;376;1284;434;52;2341
B-27;Sant Joan De Llefià;Extremadura;2;0;29;251;206;488
B-27;Sant Joan De Llefià;Galícia;0;1;14;81;73;169
B-27;Sant Joan De Llefià;Madrid (Comunitat de);2;3;9;22;6;42
B-27;Sant Joan De Llefià;Múrcia (Regió de);0;0;3;31;59;93
B-27;Sant Joan De Llefià;Navarra (Comunitat Foral de);0;0;0;3;1;4
B-27;Sant Joan De Llefià;País Basc;2;0;10;6;2;20
B-27;Sant Joan De Llefià;Rioja (La);0;0;0;1;0;1
B-28;Sant Antoni De Llefià;Andalusia;4;5;86;1046;1234;2375
B-28;Sant Antoni De Llefià;Aragó;1;4;9;70;100;184
B-28;Sant Antoni De Llefià;Astúries (Principat d );0;0;4;9;5;18
B-28;Sant Antoni De Llefià;Balears (Illes);0;2;3;4;0;9
B-28;Sant Antoni De Llefià;Canàries;2;0;2;3;1;8
B-28;Sant Antoni De Llefià;Cantàbria;0;0;2;3;3;8
B-28;Sant Antoni De Llefià;Castella-la Manxa;1;0;23;201;260;485
B-28;Sant Antoni De Llefià;Castella-Lleó;1;1;24;185;196;407
B-28;Sant Antoni De Llefià;Catalunya;1996;1075;3055;1621;461;8208
B-28;Sant Antoni De Llefià;Ceuta-Melilla;1;0;4;28;30;63
B-28;Sant Antoni De Llefià;Comunitat Valenciana;3;1;13;23;48;88
B-28;Sant Antoni De Llefià;estranger;229;437;1470;531;68;2735
B-28;Sant Antoni De Llefià;Extremadura;1;0;20;292;242;555
B-28;Sant Antoni De Llefià;Galícia;0;1;21;84;107;213
B-28;Sant Antoni De Llefià;Madrid (Comunitat de);3;4;11;18;16;52
B-28;Sant Antoni De Llefià;Múrcia (Regió de);1;0;8;58;128;195
B-28;Sant Antoni De Llefià;Navarra (Comunitat Foral de);0;0;3;3;8;14
B-28;Sant Antoni De Llefià;País Basc;1;0;10;3;2;16
B-28;Sant Antoni De Llefià;Rioja (La);1;0;0;1;4;6
B-29;Sant Mori De Llefià;Andalusia;9;15;114;1242;1204;2584
B-29;Sant Mori De Llefià;Aragó;1;1;8;58;67;135
B-29;Sant Mori De Llefià;Astúries (Principat d );0;0;1;8;5;14
B-29;Sant Mori De Llefià;Balears (Illes);1;0;3;1;1;6
B-29;Sant Mori De Llefià;Canàries;0;0;2;2;0;4
B-29;Sant Mori De Llefià;Cantàbria;0;0;3;4;3;10
B-29;Sant Mori De Llefià;Castella-la Manxa;0;2;14;177;218;411
B-29;Sant Mori De Llefià;Castella-Lleó;1;2;17;182;138;340
B-29;Sant Mori De Llefià;Catalunya;1987;1093;3027;1545;427;8079
B-29;Sant Mori De Llefià;Ceuta-Melilla;0;0;1;29;25;55
B-29;Sant Mori De Llefià;Comunitat Valenciana;2;3;19;31;31;86
B-29;Sant Mori De Llefià;estranger;234;398;1403;483;61;2579
